timestamp,track_id,track_point_index,target_type,range_km,range_rate_mps,velocity_mps,radial_direction,azimuth_deg,elevation_deg,altitude_m,rcs_m2,signal_strength_db,snr_db,doppler_hz,bearing_rate_deg_s,noise_floor_db,clutter_index,weather_attenuation_db,jam_state,jam_power_db,false_target_count,burn_through_flag,track_quality,confidence
2026-01-01 00:00:00,1000,0,aircraft,268.546,-198.533,198.247,incoming,152.369,13.292,4349.75,10.2148,-58.089,23.56,-1732.511,0.3787,-90.463,0.112,2.583,none,0.0,0,1,0.936,0.894
2026-01-01 00:00:04,1000,1,aircraft,266.494,-192.121,192.536,incoming,154.569,12.972,4383.77,11.785,-56.377,26.363,-3177.897,0.3446,-91.002,0.115,3.032,none,0.0,0,1,0.966,0.945
2026-01-01 00:00:08,1000,2,aircraft,268.676,-201.434,200.745,incoming,154.642,13.979,4479.01,11.6557,-60.888,7.822,-2163.674,0.461,-90.786,0.024,2.081,spot,14.955,0,1,0.771,0.781
2026-01-01 00:00:12,1000,3,aircraft,263.142,-189.244,190.174,incoming,155.115,13.471,4903.5,11.8331,-67.746,-2.378,-1808.534,0.3633,-90.656,0.172,2.963,barrage,17.069,2,1,0.766,0.753
2026-01-01 00:00:16,1000,4,aircraft,265.315,-199.004,199.104,incoming,157.975,13.59,4509.91,11.9144,-54.284,26.301,-1310.694,0.3768,-91.479,0.246,0.278,none,0.0,0,1,0.956,0.913
2026-01-01 00:00:16,1001,0,aircraft,109.754,266.616,266.732,outgoing,89.811,8.09,3982.28,11.2073,-38.266,47.429,3891.36,0.2216,-88.22,0.122,1.115,none,0.0,0,1,0.951,0.93
2026-01-01 00:00:18,1001,1,aircraft,110.314,252.478,252.945,outgoing,90.16,6.897,3986.81,12.7906,-44.887,31.551,1613.794,0.219,-87.145,0.027,2.455,spot,12.681,0,1,0.814,0.803
2026-01-01 00:00:20,1000,5,aircraft,262.111,-198.549,198.491,incoming,159.829,12.629,4464.19,10.6581,-57.791,27.633,-3358.164,0.3662,-89.675,0.196,1.98,none,0.0,0,1,0.939,0.902
2026-01-01 00:00:20,1001,2,aircraft,110.738,265.891,265.96,outgoing,90.757,7.324,3879.75,11.5425,-37.315,49.154,2762.33,0.2093,-86.172,0.127,0.921,none,0.0,0,1,0.941,0.934
2026-01-01 00:00:22,1001,3,aircraft,111.397,258.817,258.824,outgoing,90.943,7.523,4038.25,12.0444,-36.629,50.025,4174.551,0.2512,-86.949,0.155,1.816,none,0.0,0,1,0.948,0.913
2026-01-01 00:00:24,1000,6,aircraft,262.816,-203.872,204.166,incoming,160.916,13.374,4434.32,10.4396,-55.446,20.83,-1388.592,0.3686,-89.558,0.234,2.038,none,0.0,0,1,0.942,0.969
2026-01-01 00:00:24,1001,4,aircraft,112.252,256.326,256.064,outgoing,90.936,7.331,3969.05,12.9496,-37.782,49.02,2179.619,0.2555,-86.274,0.129,3.046,none,0.0,0,1,0.951,0.924
2026-01-01 00:00:26,1001,5,aircraft,111.309,265.775,265.748,outgoing,91.893,7.251,4040.9,13.0203,-44.163,33.367,4046.682,0.0883,-86.711,0.183,1.031,spot,13.193,0,1,0.826,0.87
2026-01-01 00:00:28,1000,7,aircraft,261.822,-204.662,204.651,incoming,161.662,13.466,4419.8,12.915,-52.82,26.367,-1813.007,0.3562,-90.235,0.063,1.461,none,0.0,0,1,0.946,0.943
2026-01-01 00:00:28,1001,6,aircraft,113.18,258.657,258.74,outgoing,91.687,7.197,3958.57,10.4245,-39.441,45.524,3570.744,0.2318,-86.843,0.095,2.64,none,0.0,0,1,0.947,0.903
2026-01-01 00:00:30,1001,7,aircraft,113.043,248.464,248.245,outgoing,92.411,7.228,3851.23,11.4827,-37.537,46.655,2287.891,0.2372,-87.597,0.067,2.397,none,0.0,0,1,0.931,0.984
